month,kwh_usage,peak_hours,appliances,bill
7,5.23,6,4,62.760000000000005
4,11.35,7,5,136.2
11,10.92,7,2,131.04
8,9.4,6,5,112.80000000000001
5,5.21,7,2,62.519999999999996
7,7.98,6,5,95.76
10,15.67,5,5,188.04
3,16.85,6,3,202.20000000000002
7,14.09,6,2,169.07999999999998
11,18.89,7,3,226.68
11,14.77,7,2,177.24
8,18.72,4,3,224.64
5,17.75,4,4,213.0
4,11.74,5,5,140.88
8,6.43,4,2,77.16
8,10.56,6,2,126.72
3,15.03,7,5,180.35999999999999
6,14.99,4,2,179.88
5,13.87,4,2,166.44
2,9.12,5,3,109.44
8,13.42,9,2,161.04
12,10.74,5,4,128.88
6,19.58,6,4,234.95999999999998
2,17.73,7,5,212.76
12,15.83,5,2,189.96
5,8.54,4,5,102.47999999999999
1,8.84,7,4,106.08
12,5.61,7,2,67.32000000000001
10,15.66,4,2,187.92000000000002
6,6.66,5,5,79.92
12,11.59,4,4,139.07999999999998
9,8.03,9,2,96.35999999999999
1,18.44,7,5,221.28000000000003
11,12.13,8,4,145.56
11,13.45,8,5,161.39999999999998
10,15.43,6,3,185.16
12,7.09,4,2,85.08
12,14.07,4,3,168.84
3,13.1,6,4,157.2
12,8.05,6,3,96.60000000000001
7,19.14,6,3,229.68
4,13.98,7,4,167.76
9,15.42,9,5,185.04
3,18.21,4,3,218.52
5,14.37,7,5,172.44
3,9.43,6,3,113.16
7,6.58,4,5,78.96000000000001
5,11.85,7,4,142.2
9,8.28,9,3,99.35999999999999
7,11.25,7,4,135.0
2,18.25,9,3,219.0
4,9.87,6,4,118.44
9,6.83,9,4,81.96000000000001
12,10.34,4,3,124.08
2,18.6,6,3,223.20000000000002
10,9.08,4,3,108.96000000000001
9,14.72,8,2,176.64000000000001
10,5.01,5,5,60.12
5,10.29,9,2,123.47999999999999
2,9.57,5,2,114.84
4,7.47,5,4,89.64
12,13.01,9,3,156.12
12,12.27,6,5,147.24
7,15.39,8,4,184.68
12,9.04,4,2,108.47999999999999
8,8.66,7,3,103.92
3,7.52,4,4,90.24
1,8.28,7,3,99.35999999999999
4,13.37,4,4,160.44
2,11.06,9,3,132.72
8,5.97,8,2,71.64
4,8.81,7,5,105.72
2,8.7,6,2,104.39999999999999
6,15.44,4,5,185.28
6,15.68,4,3,188.16
10,7.22,7,4,86.64
4,19.97,6,2,239.64
6,9.0,6,5,108.0
2,19.65,9,2,235.79999999999998
10,11.17,9,5,134.04
12,5.5,9,2,66.0
2,10.18,9,5,122.16
10,14.52,9,5,174.24
4,15.21,9,3,182.52
8,12.96,8,5,155.52
7,11.72,6,3,140.64000000000001
12,13.29,9,5,159.48
9,13.89,6,4,166.68
8,6.21,6,4,74.52
5,10.54,5,4,126.47999999999999
2,8.63,8,5,103.56
5,17.05,9,3,204.60000000000002
8,12.05,4,3,144.60000000000002
10,19.75,7,5,237.0
9,10.98,4,4,131.76
12,17.25,8,4,207.0
12,16.98,7,3,203.76
12,7.26,8,4,87.12
9,12.62,6,2,151.44
1,15.44,7,3,185.28
