month,kwh_usage,peak_hours,appliances,bill
7,490.2478406469903,4,1,6137.902964900319
4,780.654014268917,7,4,9773.78825864684
11,170.3100996321151,1,13,2132.282447394081
8,744.6919093929148,2,2,9323.542705599293
5,144.52279148558029,6,2,1809.4253493994652
7,773.8512282385453,2,3,9688.617377546587
10,141.3083822996103,5,8,1769.1809463911206
3,114.59398514268884,3,8,1434.7166939864642
7,657.5691698931372,6,12,8232.766007062077
11,897.8044278147155,8,7,11240.511436240238
11,817.2882103792166,2,6,10232.448393947792
8,560.798734244528,6,9,7021.20015274149
5,833.9164904684253,6,4,10440.634460664685
4,104.24000511808433,6,12,1305.0848640784156
8,880.053730356114,3,1,11018.272704058547
8,492.5990234070276,8,8,6167.3397730559855
3,678.3168772974205,7,7,8492.527303763705
6,756.689178522682,4,7,9473.748515103978
5,674.7658166692429,6,3,8448.068024698921
2,528.0293856359284,1,4,6610.927908161823
8,481.29558730112956,7,10,6025.820753010142
12,770.8660469620999,5,9,9651.24290796549
6,264.0620481195673,3,6,3306.0568424569824
2,874.3952532033874,2,5,10947.42857010641
12,668.7619830693986,3,3,8372.900028028871
5,259.60554187065577,2,9,3250.26138422061
1,688.9977469587906,3,5,8626.251791924058
12,523.8720185448933,2,5,6558.877672182064
10,665.7840765155556,6,14,8335.616637974756
6,714.223601154271,4,4,8942.079486451474
12,169.83214367174037,2,14,2126.2984387701895
9,504.8831650874776,8,4,6321.137226895219
1,845.6114738055473,2,12,10587.055652045452
11,356.5137537276114,1,1,4463.552196669694
11,575.1064780463191,2,7,7200.3331051399155
10,395.3843852079169,1,9,4950.21250280312
12,463.4143777752797,5,3,5801.948009746502
12,538.8824943505226,6,12,6746.808829268543
3,539.1375839111818,1,13,6750.002550567995
12,261.38436986418867,4,2,3272.532310699642
7,647.6572383038666,7,3,8108.66862356441
4,170.29448899412546,6,1,2132.0870022064505
9,211.0598187536163,1,6,2642.468930795276
3,102.16871953146374,6,11,1279.152368533926
5,193.35685131334506,8,11,2420.82777844308
3,478.5329608415138,6,7,5991.232669735752
7,584.8815048446709,6,11,7322.716440655279
5,735.43155997317,5,11,9207.603130864089
9,185.35940009074886,4,2,2320.6996891361755
7,780.5819680131638,3,8,9772.88623952481
2,696.7796204389745,3,14,8723.68084789596
4,426.81463434873353,1,6,5343.719222046144
9,846.3504536799637,6,14,10596.307680073145
12,892.7435811659125,1,4,11177.149636197224
2,264.0014480425898,5,5,3305.298129493224
10,403.38286797104035,5,8,5050.353506997425
9,841.159538871769,2,14,10531.317426674546
10,677.2772406010217,8,3,8479.511052324791
