Number_of_Appliances,Daily_Peak_Hours,Aircon_Usage_Hours,Refrigerator_Count,Washing_Machine_Usage,Household_Size,Month,kWh_Consumption
7,7.04,1.08,1,1.79,2,1,46.24974101305572
4,7.65,0.48,1,2.6,4,11,44.29716522446313
13,2.03,0.12,1,2.84,4,10,45.09091622215138
11,7.49,3.21,2,0.32,4,9,63.96070345976126
8,4.44,3.04,1,0.46,1,5,40.850523399445606
13,2.81,2.73,1,2.83,5,11,59.88378327833425
5,4.21,1.16,1,2.21,2,5,36.95335325438616
7,7.86,1.95,1,2.65,4,6,57.186880284704024
10,4.45,2.97,1,0.61,2,9,53.457125261568116
3,3.3,2.48,1,1.76,1,8,30.990677120537363
7,5.43,4.94,1,2.1,5,8,63.89231696553887
11,2.68,0.68,1,2.04,1,8,33.43339730540202
11,1.53,3.48,2,1.22,2,1,52.40653067220815
8,1.9,2.02,1,0.05,5,1,35.762846815599005
5,1.9,2.14,1,1.75,5,8,39.8586696531069
4,2.06,3.59,1,0.76,1,5,38.03015080401501
8,1.97,3.46,1,1.35,4,9,57.7384197594357
8,5.49,4.96,2,2.87,2,2,64.32482481936859
3,2.27,0.64,2,1.2,3,9,28.92518688658124
6,3.42,0.52,2,2.52,3,12,36.25687363638909
5,7.28,3.62,2,0.57,1,8,57.17591834550932
2,4.32,2.89,2,2.02,2,9,43.085090607108775
8,5.67,1.37,2,2.93,2,4,52.021427394783096
12,2.21,0.4,2,0.31,1,1,36.35683933884618
14,2.35,0.43,2,0.02,2,1,36.00113169217458
6,1.29,4.47,2,1.3,4,5,46.85317145743229
2,2.18,0.96,2,0.28,1,2,22.03770735161082
12,2.95,1.62,2,2.25,4,8,50.655289413685196
5,2.24,1.13,2,2.74,2,10,37.22803752736892
1,1.62,1.77,2,1.3,1,11,32.337148820563016
12,1.84,0.35,2,0.78,2,5,31.529253653125494
10,4.23,2.6,2,1.3,1,5,49.85384153220464
6,2.44,0.34,2,2.17,2,2,32.19878857265721
13,3.55,4.0,1,0.03,4,7,61.5843316852682
12,4.52,1.17,2,1.77,4,8,48.33937348643773
9,5.83,2.7,1,1.84,2,10,54.59800940932189
1,1.28,4.4,2,1.91,1,1,41.49060974572008
